bubble,insertion,merge,quick
63.0,19.0,67.0,29.0
76.0,17.0,45.0,51.0
43.0,17.0,45.0,51.0
63.0,19.0,49.0,29.0
82.0,24.0,48.0,40.0
61.0,16.0,76.0,27.0
72.0,20.0,41.0,42.0
61.0,16.0,76.0,27.0
61.0,16.0,76.0,27.0
68.0,16.0,76.0,27.0
68.0,16.0,41.0,27.0
83.0,27.0,93.0,24.0
83.0,24.0,93.0,31.0
60.0,20.0,65.0,33.0
60.0,20.0,65.0,29.0
83.0,24.0,93.0,31.0
31.0,18.0,41.0,45.0
68.0,18.0,41.0,45.0
68.0,18.0,41.0,27.0
72.0,20.0,41.0,42.0
72.0,20.0,41.0,42.0
76.0,17.0,45.0,53.0
61.0,17.0,49.0,40.0
61.0,17.0,49.0,42.0
76.0,17.0,45.0,53.0
76.0,24.0,45.0,53.0
61.0,17.0,49.0,42.0
76.0,17.0,45.0,53.0
61.0,17.0,49.0,40.0
61.0,17.0,49.0,42.0
76.0,24.0,45.0,53.0
78.0,24.0,65.0,31.0
72.0,20.0,41.0,42.0
72.0,20.0,41.0,42.0
97.0,20.0,41.0,42.0
31.0,18.0,41.0,45.0
68.0,18.0,41.0,45.0
60.0,14.0,65.0,33.0
83.0,24.0,93.0,31.0
83.0,27.0,93.0,31.0
60.0,20.0,65.0,29.0
68.0,16.0,76.0,27.0
60.0,14.0,65.0,33.0
68.0,16.0,41.0,27.0
61.0,16.0,76.0,27.0
61.0,16.0,76.0,27.0
76.0,17.0,45.0,51.0
63.0,19.0,67.0,29.0
82.0,24.0,48.0,40.0
82.0,24.0,48.0,40.0
63.0,19.0,49.0,42.0
43.0,17.0,45.0,51.0
43.0,17.0,30.0,51.0
63.0,19.0,49.0,42.0
82.0,24.0,93.0,31.0
82.0,24.0,93.0,31.0
63.0,19.0,49.0,42.0
43.0,17.0,30.0,51.0
63.0,19.0,49.0,42.0
82.0,24.0,48.0,40.0
43.0,17.0,45.0,51.0
76.0,17.0,45.0,51.0
82.0,24.0,48.0,40.0
63.0,19.0,67.0,29.0
61.0,16.0,76.0,27.0
61.0,16.0,76.0,27.0
68.0,16.0,41.0,27.0
60.0,14.0,65.0,33.0
68.0,16.0,76.0,27.0
83.0,24.0,93.0,31.0
60.0,20.0,65.0,29.0
