bubble,insertion,merge,quick
4.2,14.6,7.7,6.0
4.3,16.0,7.2,6.2
4.3,16.0,7.2,6.2
3.9,14.1,7.7,6.0
3.4,16.0,7.2,6.2
3.9,14.1,7.7,6.0
4.3,16.0,7.2,6.6
3.4,16.0,7.2,6.2
3.9,14.1,7.7,6.0
3.4,16.0,7.2,6.2
3.2,14.6,7.8,6.1
3.3,14.3,7.3,7.2
3.7,14.6,7.8,5.7
3.3,14.3,7.3,7.2
3.6,14.9,6.8,6.3
3.6,14.9,6.8,6.3
3.3,14.3,7.3,7.5
3.4,14.3,7.3,7.5
3.4,14.9,6.8,6.3
4.1,15.5,7.3,7.5
3.5,13.2,7.0,6.3
3.5,13.2,7.0,6.5
3.3,14.3,6.7,7.2
4.2,13.8,6.8,5.8
4.2,13.8,6.8,5.8
4.2,14.8,6.7,7.2
3.6,13.2,7.0,6.5
4.2,13.8,6.8,5.8
3.7,14.6,7.0,5.7
4.2,14.6,7.7,6.0
4.3,14.6,7.5,6.8
4.2,16.0,8.5,6.6
4.2,14.5,8.5,6.3
4.2,14.6,7.5,6.8
4.7,14.5,8.5,6.3
4.7,14.5,8.5,6.3
4.2,14.5,8.5,6.3
4.3,14.6,7.5,6.8
4.3,14.6,7.5,6.8
4.2,16.0,8.5,6.6
4.2,14.6,7.7,6.0
3.7,14.6,7.0,5.7
4.2,13.8,6.8,5.8
3.6,13.2,7.0,6.5
4.2,13.8,6.8,5.8
4.2,14.8,6.7,7.2
3.3,14.3,6.7,7.2
4.2,13.8,6.8,5.8
3.5,13.2,7.0,6.5
3.5,13.2,7.0,6.5
4.1,15.5,7.3,7.5
3.4,14.9,6.8,6.3
3.4,15.5,7.3,7.5
3.3,14.3,7.3,7.5
3.6,14.9,6.8,6.3
3.6,14.9,6.8,6.3
3.3,14.3,7.3,7.2
3.2,14.6,7.8,5.7
3.3,14.3,7.3,7.2
3.2,14.6,7.8,6.1
3.4,16.0,7.2,6.2
3.4,16.0,7.2,6.2
3.9,14.1,7.7,6.0
3.9,14.1,7.7,6.0
4.3,16.0,7.2,6.6
4.3,16.0,7.2,6.6
3.9,14.1,7.7,6.0
3.4,16.0,7.2,6.2
4.3,16.0,7.2,6.6
3.9,14.1,7.7,6.0
3.0,14.1,7.7,6.0
3.7,14.6,7.8,5.7
3.7,14.6,7.8,5.7
3.3,14.3,7.3,7.2
3.2,14.6,7.8,6.1
3.3,14.3,7.3,7.2
3.6,14.9,6.8,6.3
3.6,14.9,6.8,6.3
3.4,15.5,7.3,7.5
3.4,14.3,7.3,7.5
3.6,13.2,7.0,6.5
3.5,13.2,7.0,6.5
3.8,14.9,6.8,6.3
3.5,13.2,7.0,6.3
4.2,14.8,6.7,7.2
4.2,13.8,6.8,5.8
4.2,13.8,6.8,5.8
3.3,14.3,6.7,7.2
4.2,14.8,6.7,6.3
3.7,14.6,7.0,5.7
3.6,13.2,7.0,6.5
4.3,14.6,7.5,6.8
4.2,14.5,8.5,6.3
4.2,16.0,8.5,6.6
4.3,14.6,7.5,6.8
4.3,14.6,7.5,6.8
4.3,14.6,7.5,6.8
4.2,16.0,8.5,6.6
4.3,14.6,7.5,6.8
4.3,14.6,7.5,6.8
4.2,14.5,8.5,6.3
3.6,13.2,7.0,6.5
4.2,14.8,6.7,6.3
3.7,14.6,7.0,5.7
4.2,13.8,6.8,5.8
3.3,14.3,6.7,7.2
4.2,14.8,6.7,7.2
4.2,13.8,6.8,5.8
3.5,13.2,7.0,6.3
3.8,13.8,6.8,6.3
3.5,13.2,7.0,6.5
3.6,13.2,7.0,6.5
3.4,14.3,7.3,7.5
3.4,15.5,7.3,7.5
3.6,14.9,6.8,6.3
3.6,14.9,6.8,6.3
3.3,14.3,7.3,7.2
3.2,14.6,7.8,6.1
3.3,14.3,7.3,7.2
3.7,14.6,7.8,5.7
3.7,14.6,7.8,5.7
3.0,14.1,7.7,6.0
4.3,16.0,7.2,6.6
3.9,14.1,7.7,6.0
3.9,14.1,7.7,6.0
3.4,16.0,7.2,6.2
4.3,16.0,7.2,6.6
