bubble,insertion,merge,quick
33.0,10.0,14.0,12.0
33.0,10.0,14.0,13.0
48.0,10.0,15.0,12.0
26.0,15.0,13.0,13.0
26.0,15.0,13.0,13.0
29.0,11.0,13.0,27.0
13.0,7.0,10.0,12.0
29.0,11.0,13.0,27.0
36.0,11.0,15.0,13.0
13.0,7.0,10.0,12.0
29.0,11.0,13.0,27.0
13.0,7.0,10.0,12.0
28.0,10.0,16.0,22.0
36.0,11.0,15.0,13.0
29.0,11.0,13.0,27.0
13.0,7.0,10.0,12.0
48.0,15.0,15.0,12.0
26.0,15.0,13.0,13.0
26.0,15.0,13.0,13.0
33.0,10.0,14.0,12.0
33.0,10.0,14.0,12.0
23.0,14.0,14.0,12.0
23.0,14.0,14.0,12.0
36.0,15.0,26.0,16.0
20.0,9.0,18.0,12.0
36.0,15.0,26.0,16.0
26.0,15.0,13.0,13.0
20.0,9.0,18.0,12.0
23.0,14.0,14.0,11.0
23.0,14.0,14.0,11.0
20.0,9.0,19.0,10.0
19.0,14.0,24.0,20.0
35.0,9.0,10.0,14.0
36.0,9.0,15.0,13.0
36.0,9.0,15.0,13.0
35.0,9.0,10.0,12.0
19.0,7.0,24.0,20.0
35.0,9.0,10.0,12.0
19.0,7.0,24.0,12.0
19.0,7.0,24.0,12.0
35.0,9.0,10.0,12.0
36.0,9.0,15.0,13.0
19.0,7.0,24.0,20.0
35.0,9.0,10.0,12.0
35.0,9.0,10.0,14.0
19.0,14.0,24.0,20.0
36.0,9.0,15.0,13.0
20.0,9.0,19.0,10.0
23.0,14.0,14.0,11.0
23.0,14.0,14.0,11.0
26.0,15.0,13.0,13.0
20.0,9.0,18.0,12.0
20.0,9.0,18.0,12.0
36.0,15.0,26.0,16.0
36.0,15.0,26.0,16.0
23.0,14.0,14.0,12.0
23.0,14.0,14.0,12.0
33.0,10.0,14.0,12.0
33.0,10.0,14.0,12.0
26.0,15.0,13.0,13.0
26.0,15.0,13.0,13.0
48.0,15.0,15.0,12.0
29.0,11.0,13.0,27.0
13.0,7.0,10.0,12.0
13.0,7.0,10.0,12.0
36.0,11.0,15.0,13.0
29.0,11.0,13.0,27.0
13.0,7.0,10.0,14.0
13.0,7.0,10.0,12.0
36.0,11.0,15.0,27.0
36.0,11.0,15.0,13.0
13.0,7.0,10.0,12.0
36.0,9.0,15.0,13.0
26.0,15.0,13.0,13.0
26.0,15.0,13.0,13.0
33.0,10.0,14.0,12.0
33.0,10.0,14.0,12.0
33.0,14.0,14.0,12.0
33.0,14.0,14.0,12.0
23.0,14.0,14.0,12.0
20.0,16.0,18.0,18.0
20.0,9.0,18.0,12.0
26.0,15.0,13.0,13.0
36.0,15.0,13.0,16.0
20.0,9.0,18.0,12.0
26.0,15.0,13.0,13.0
23.0,14.0,14.0,11.0
23.0,14.0,14.0,11.0
23.0,14.0,14.0,11.0
19.0,14.0,24.0,20.0
35.0,9.0,10.0,14.0
35.0,9.0,10.0,12.0
19.0,7.0,24.0,20.0
36.0,9.0,15.0,13.0
36.0,9.0,15.0,13.0
19.0,14.0,24.0,20.0
35.0,9.0,10.0,14.0
36.0,9.0,15.0,13.0
35.0,9.0,10.0,14.0
19.0,14.0,24.0,20.0
19.0,7.0,24.0,20.0
35.0,9.0,10.0,12.0
36.0,9.0,15.0,13.0
35.0,9.0,10.0,14.0
19.0,14.0,24.0,20.0
23.0,14.0,14.0,12.0
23.0,14.0,14.0,11.0
23.0,14.0,14.0,11.0
26.0,15.0,13.0,13.0
36.0,15.0,13.0,16.0
20.0,9.0,18.0,12.0
20.0,9.0,18.0,12.0
26.0,15.0,13.0,13.0
23.0,14.0,14.0,12.0
20.0,16.0,18.0,18.0
33.0,14.0,14.0,12.0
33.0,14.0,14.0,12.0
33.0,10.0,14.0,12.0
33.0,10.0,14.0,12.0
26.0,15.0,13.0,13.0
26.0,15.0,13.0,13.0
36.0,9.0,15.0,13.0
36.0,11.0,15.0,13.0
13.0,7.0,10.0,12.0
13.0,7.0,10.0,12.0
29.0,11.0,15.0,27.0
13.0,7.0,10.0,12.0
