algoritmo;probabilidade_erro;size_of_array;largest_sorted_subarray;k_unordered_sequence;percentual_k_unordered;percentual_maior_array
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;40;4;4.0;40.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;45;5;5.0;45.0
quick;0.01;100;24;5;5.0;24.0
quick;0.01;100;31;4;4.0;31.0
quick;0.01;100;24;5;5.0;24.0
quick;0.01;100;30;8;8.0;30.0
quick;0.01;100;31;4;4.0;31.0
quick;0.01;100;40;4;4.0;40.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;40;4;4.0;40.0
quick;0.01;100;28;6;6.0;28.0
quick;0.01;100;28;6;6.0;28.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;36;5;5.0;36.0
quick;0.01;100;51;2;2.0;51.0
quick;0.01;100;51;2;2.0;51.0
quick;0.01;100;28;6;6.0;28.0
quick;0.01;100;36;5;5.0;36.0
quick;0.01;100;51;2;2.0;51.0
quick;0.01;100;51;2;2.0;51.0
quick;0.01;100;28;6;6.0;28.0
quick;0.01;100;51;2;2.0;51.0
quick;0.01;100;36;5;5.0;36.0
quick;0.01;100;36;5;5.0;36.0
quick;0.01;100;51;2;2.0;51.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;28;6;6.0;28.0
quick;0.01;100;28;6;6.0;28.0
quick;0.01;100;40;4;4.0;40.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;40;4;4.0;40.0
quick;0.01;100;30;8;8.0;30.0
quick;0.01;100;31;4;4.0;31.0
quick;0.01;100;31;4;4.0;31.0
quick;0.01;100;24;5;5.0;24.0
quick;0.01;100;24;5;5.0;24.0
quick;0.01;100;45;5;5.0;45.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;40;4;4.0;40.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;29;7;7.0;29.0
quick;0.01;100;29;7;7.0;29.0
quick;0.01;100;45;5;5.0;45.0
quick;0.01;100;45;5;5.0;45.0
quick;0.01;100;87;2;2.0;87.0
quick;0.01;100;30;8;8.0;30.0
quick;0.01;100;31;6;6.0;31.0
quick;0.01;100;87;2;2.0;87.0
quick;0.01;100;40;4;4.0;40.0
quick;0.01;100;31;6;6.0;31.0
quick;0.01;100;30;8;8.0;30.0
quick;0.01;100;87;2;2.0;87.0
quick;0.01;100;87;2;2.0;87.0
quick;0.01;100;30;8;8.0;30.0
quick;0.01;100;87;2;2.0;87.0
quick;0.01;100;45;5;5.0;45.0
quick;0.01;100;29;7;7.0;29.0
quick;0.01;100;45;5;5.0;45.0
quick;0.01;100;29;7;7.0;29.0
quick;0.01;100;29;7;7.0;29.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;33;9;9.0;33.0
quick;0.01;100;31;4;4.0;31.0
quick;0.01;100;30;8;8.0;30.0
quick;0.01;100;24;5;5.0;24.0
quick;0.01;100;31;4;4.0;31.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;30;8;8.0;30.0
quick;0.01;100;40;4;4.0;40.0
quick;0.01;100;28;6;6.0;28.0
quick;0.01;100;36;5;5.0;36.0
quick;0.01;100;36;5;5.0;36.0
quick;0.01;100;51;2;2.0;51.0
quick;0.01;100;28;6;6.0;28.0
quick;0.01;100;51;2;2.0;51.0
quick;0.01;100;36;5;5.0;36.0
quick;0.01;100;51;2;2.0;51.0
quick;0.01;100;36;5;5.0;36.0
quick;0.01;100;36;5;5.0;36.0
quick;0.01;100;28;6;6.0;28.0
quick;0.01;100;51;2;2.0;51.0
quick;0.01;100;36;5;5.0;36.0
quick;0.01;100;28;6;6.0;28.0
quick;0.01;100;30;8;8.0;30.0
quick;0.01;100;40;4;4.0;40.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;24;5;5.0;24.0
quick;0.01;100;31;4;4.0;31.0
quick;0.01;100;31;4;4.0;31.0
quick;0.01;100;30;8;8.0;30.0
quick;0.01;100;33;9;9.0;33.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;29;7;7.0;29.0
quick;0.01;100;29;7;7.0;29.0
quick;0.01;100;45;5;5.0;45.0
quick;0.01;100;29;7;7.0;29.0
quick;0.01;100;45;5;5.0;45.0
quick;0.01;100;87;2;2.0;87.0
quick;0.01;100;87;2;2.0;87.0
quick;0.01;100;31;6;6.0;31.0
quick;0.01;100;30;8;8.0;30.0
quick;0.01;100;87;2;2.0;87.0
quick;0.01;100;31;6;6.0;31.0
quick;0.01;100;53;6;6.0;53.0
quick;0.01;100;42;4;4.0;42.0
quick;0.01;100;42;4;4.0;42.0
quick;0.01;100;53;6;6.0;53.0
quick;0.01;100;40;4;4.0;40.0
quick;0.01;100;53;6;6.0;53.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;31;5;5.0;31.0
quick;0.01;100;31;5;5.0;31.0
quick;0.01;100;33;9;9.0;33.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;24;5;5.0;24.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;40;6;6.0;40.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;40;6;6.0;40.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;40;6;6.0;40.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;40;6;6.0;40.0
quick;0.01;100;40;6;6.0;40.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;40;6;6.0;40.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;24;5;5.0;24.0
quick;0.01;100;31;5;5.0;31.0
quick;0.01;100;33;9;9.0;33.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;31;5;5.0;31.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;53;6;6.0;53.0
quick;0.01;100;40;4;4.0;40.0
quick;0.01;100;42;4;4.0;42.0
quick;0.01;100;53;6;6.0;53.0
quick;0.01;100;53;6;6.0;53.0
quick;0.01;100;42;4;4.0;42.0
quick;0.01;100;53;6;6.0;53.0
quick;0.01;100;40;4;4.0;40.0
quick;0.01;100;42;4;4.0;42.0
quick;0.01;100;53;6;6.0;53.0
quick;0.01;100;31;6;6.0;31.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;33;9;9.0;33.0
quick;0.01;100;31;5;5.0;31.0
quick;0.01;100;31;5;5.0;31.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;33;9;9.0;33.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;40;6;6.0;40.0
quick;0.01;100;40;6;6.0;40.0
quick;0.01;100;42;4;4.0;42.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;42;4;4.0;42.0
quick;0.01;100;31;5;5.0;31.0
quick;0.01;100;31;5;5.0;31.0
quick;0.01;100;42;4;4.0;42.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;42;4;4.0;42.0
quick;0.01;100;40;6;6.0;40.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;40;6;6.0;40.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;33;9;9.0;33.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;31;5;5.0;31.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;33;9;9.0;33.0
quick;0.01;100;31;5;5.0;31.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;31;6;6.0;31.0
quick;0.01;100;42;4;4.0;42.0
quick;0.01;100;53;6;6.0;53.0
quick;0.01;100;53;6;6.0;53.0
quick;0.01;100;42;4;4.0;42.0
quick;0.01;100;53;6;6.0;53.0
quick;0.01;100;40;4;4.0;40.0
quick;0.01;100;45;5;5.0;45.0
quick;0.01;100;53;6;6.0;53.0
quick;0.01;100;53;6;6.0;53.0
quick;0.01;100;42;4;4.0;42.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;33;9;9.0;33.0
quick;0.01;100;31;5;5.0;31.0
quick;0.01;100;33;9;9.0;33.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;31;5;5.0;31.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;40;6;6.0;40.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;40;6;6.0;40.0
quick;0.01;100;42;4;4.0;42.0
quick;0.01;100;31;5;5.0;31.0
quick;0.01;100;42;4;4.0;42.0
quick;0.01;100;42;4;4.0;42.0
quick;0.01;100;31;5;5.0;31.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;42;4;4.0;42.0
quick;0.01;100;40;6;6.0;40.0
quick;0.01;100;40;6;6.0;40.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;31;5;5.0;31.0
quick;0.01;100;31;5;5.0;31.0
quick;0.01;100;33;9;9.0;33.0
quick;0.01;100;33;9;9.0;33.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;53;6;6.0;53.0
quick;0.01;100;42;4;4.0;42.0
quick;0.01;100;40;4;4.0;40.0
quick;0.01;100;53;6;6.0;53.0
quick;0.01;100;53;6;6.0;53.0
quick;0.01;100;40;4;4.0;40.0
quick;0.01;100;42;4;4.0;42.0
quick;0.01;100;53;6;6.0;53.0
quick;0.01;100;53;6;6.0;53.0
quick;0.01;100;40;4;4.0;40.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;24;5;5.0;24.0
quick;0.01;100;31;5;5.0;31.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;33;9;9.0;33.0
quick;0.01;100;31;5;5.0;31.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;40;6;6.0;40.0
quick;0.01;100;40;6;6.0;40.0
quick;0.01;100;42;4;4.0;42.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;40;6;6.0;40.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;40;6;6.0;40.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;42;4;4.0;42.0
quick;0.01;100;40;6;6.0;40.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;40;6;6.0;40.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;33;9;9.0;33.0
quick;0.01;100;31;5;5.0;31.0
quick;0.01;100;31;5;5.0;31.0
quick;0.01;100;29;5;5.0;29.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;24;5;5.0;24.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;27;8;8.0;27.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;45;4;4.0;45.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;42;5;5.0;42.0
quick;0.01;100;51;6;6.0;51.0
quick;0.01;100;53;6;6.0;53.0
quick;0.01;100;40;4;4.0;40.0
quick;0.01;100;42;4;4.0;42.0
quick;0.01;100;53;6;6.0;53.0
quick;0.01;100;40;4;4.0;40.0
