algoritmo;probabilidade_erro;size_of_array;largest_sorted_subarray;k_unordered_sequence;percentual_k_unordered;percentual_maior_array
quick;0.01;10000;89;687;6.87;0.89
quick;0.01;10000;81;620;6.2;0.81
quick;0.01;10000;73;676;6.76;0.73
quick;0.01;10000;84;646;6.46;0.84
quick;0.01;10000;81;620;6.2;0.81
quick;0.01;10000;84;646;6.46;0.84
quick;0.01;10000;90;620;6.2;0.9
quick;0.01;10000;77;653;6.53;0.77
quick;0.01;10000;85;639;6.39;0.85
quick;0.01;10000;97;654;6.54;0.97
quick;0.01;10000;89;668;6.68;0.89
quick;0.01;10000;95;657;6.57;0.95
quick;0.01;10000;107;680;6.8;1.07
quick;0.01;10000;61;705;7.05;0.61
quick;0.01;10000;61;705;7.05;0.61
quick;0.01;10000;107;680;6.8;1.07
quick;0.01;10000;115;663;6.63;1.15
quick;0.01;10000;89;668;6.68;0.89
quick;0.01;10000;61;705;7.05;0.61
quick;0.01;10000;107;680;6.8;1.07
quick;0.01;10000;107;680;6.8;1.07
quick;0.01;10000;61;705;7.05;0.61
quick;0.01;10000;89;668;6.68;0.89
quick;0.01;10000;95;657;6.57;0.95
quick;0.01;10000;104;622;6.22;1.04
quick;0.01;10000;73;676;6.76;0.73
quick;0.01;10000;77;653;6.53;0.77
quick;0.01;10000;84;646;6.46;0.84
quick;0.01;10000;73;676;6.76;0.73
quick;0.01;10000;90;620;6.2;0.9
quick;0.01;10000;84;646;6.46;0.84
quick;0.01;10000;89;687;6.87;0.89
quick;0.01;10000;81;620;6.2;0.81
quick;0.01;10000;85;639;6.39;0.85
quick;0.01;10000;89;687;6.87;0.89
quick;0.01;10000;85;639;6.39;0.85
quick;0.01;10000;80;625;6.25;0.8
quick;0.01;10000;80;625;6.25;0.8
quick;0.01;10000;90;663;6.63;0.9
quick;0.01;10000;90;663;6.63;0.9
quick;0.01;10000;101;701;7.01;1.01
quick;0.01;10000;92;652;6.52;0.92
quick;0.01;10000;91;659;6.59;0.91
quick;0.01;10000;92;652;6.52;0.92
quick;0.01;10000;92;652;6.52;0.92
quick;0.01;10000;129;643;6.43;1.29
quick;0.01;10000;115;663;6.63;1.15
quick;0.01;10000;115;663;6.63;1.15
quick;0.01;10000;115;663;6.63;1.15
quick;0.01;10000;115;663;6.63;1.15
quick;0.01;10000;92;652;6.52;0.92
quick;0.01;10000;129;643;6.43;1.29
quick;0.01;10000;91;659;6.59;0.91
quick;0.01;10000;92;652;6.52;0.92
quick;0.01;10000;92;652;6.52;0.92
quick;0.01;10000;101;701;7.01;1.01
quick;0.01;10000;90;663;6.63;0.9
quick;0.01;10000;101;701;7.01;1.01
quick;0.01;10000;80;625;6.25;0.8
quick;0.01;10000;80;625;6.25;0.8
quick;0.01;10000;85;639;6.39;0.85
quick;0.01;10000;89;687;6.87;0.89
quick;0.01;10000;85;639;6.39;0.85
quick;0.01;10000;81;620;6.2;0.81
quick;0.01;10000;89;687;6.87;0.89
quick;0.01;10000;73;676;6.76;0.73
quick;0.01;10000;84;646;6.46;0.84
quick;0.01;10000;84;646;6.46;0.84
quick;0.01;10000;73;676;6.76;0.73
quick;0.01;10000;80;712;7.12;0.8
quick;0.01;10000;97;654;6.54;0.97
quick;0.01;10000;77;653;6.53;0.77
quick;0.01;10000;95;657;6.57;0.95
quick;0.01;10000;95;657;6.57;0.95
quick;0.01;10000;107;680;6.8;1.07
quick;0.01;10000;61;705;7.05;0.61
quick;0.01;10000;61;705;7.05;0.61
quick;0.01;10000;107;680;6.8;1.07
quick;0.01;10000;89;668;6.68;0.89
quick;0.01;10000;128;668;6.68;1.28
quick;0.01;10000;81;676;6.76;0.81
quick;0.01;10000;107;680;6.8;1.07
quick;0.01;10000;128;668;6.68;1.28
quick;0.01;10000;94;669;6.69;0.94
quick;0.01;10000;94;669;6.69;0.94
quick;0.01;10000;94;669;6.69;0.94
quick;0.01;10000;84;659;6.59;0.84
quick;0.01;10000;90;620;6.2;0.9
quick;0.01;10000;90;620;6.2;0.9
quick;0.01;10000;84;659;6.59;0.84
quick;0.01;10000;97;654;6.54;0.97
quick;0.01;10000;93;643;6.43;0.93
quick;0.01;10000;97;654;6.54;0.97
quick;0.01;10000;87;657;6.57;0.87
quick;0.01;10000;87;657;6.57;0.87
quick;0.01;10000;110;621;6.21;1.1
quick;0.01;10000;80;712;7.12;0.8
quick;0.01;10000;80;712;7.12;0.8
quick;0.01;10000;110;621;6.21;1.1
quick;0.01;10000;99;632;6.32;0.99
quick;0.01;10000;89;648;6.48;0.89
quick;0.01;10000;99;632;6.32;0.99
quick;0.01;10000;137;631;6.31;1.37
quick;0.01;10000;104;622;6.22;1.04
quick;0.01;10000;110;621;6.21;1.1
quick;0.01;10000;137;631;6.31;1.37
quick;0.01;10000;73;692;6.92;0.73
quick;0.01;10000;73;692;6.92;0.73
quick;0.01;10000;129;643;6.43;1.29
quick;0.01;10000;85;659;6.59;0.85
quick;0.01;10000;92;652;6.52;0.92
quick;0.01;10000;129;643;6.43;1.29
quick;0.01;10000;105;652;6.52;1.05
quick;0.01;10000;93;643;6.43;0.93
quick;0.01;10000;85;659;6.59;0.85
quick;0.01;10000;85;659;6.59;0.85
quick;0.01;10000;93;643;6.43;0.93
quick;0.01;10000;105;652;6.52;1.05
quick;0.01;10000;92;652;6.52;0.92
quick;0.01;10000;129;643;6.43;1.29
quick;0.01;10000;129;643;6.43;1.29
quick;0.01;10000;85;659;6.59;0.85
quick;0.01;10000;73;692;6.92;0.73
quick;0.01;10000;73;692;6.92;0.73
quick;0.01;10000;137;631;6.31;1.37
quick;0.01;10000;110;621;6.21;1.1
quick;0.01;10000;104;622;6.22;1.04
quick;0.01;10000;137;631;6.31;1.37
quick;0.01;10000;99;632;6.32;0.99
quick;0.01;10000;89;648;6.48;0.89
quick;0.01;10000;99;632;6.32;0.99
quick;0.01;10000;80;712;7.12;0.8
quick;0.01;10000;110;621;6.21;1.1
quick;0.01;10000;110;621;6.21;1.1
quick;0.01;10000;92;632;6.32;0.92
quick;0.01;10000;87;657;6.57;0.87
quick;0.01;10000;87;657;6.57;0.87
quick;0.01;10000;97;654;6.54;0.97
quick;0.01;10000;93;643;6.43;0.93
quick;0.01;10000;97;654;6.54;0.97
quick;0.01;10000;90;620;6.2;0.9
quick;0.01;10000;84;659;6.59;0.84
quick;0.01;10000;84;659;6.59;0.84
quick;0.01;10000;90;620;6.2;0.9
quick;0.01;10000;94;669;6.69;0.94
quick;0.01;10000;94;669;6.69;0.94
quick;0.01;10000;94;669;6.69;0.94
quick;0.01;10000;107;680;6.8;1.07
quick;0.01;10000;128;668;6.68;1.28
quick;0.01;10000;61;705;7.05;0.61
quick;0.01;10000;81;676;6.76;0.81
quick;0.01;10000;128;668;6.68;1.28
quick;0.01;10000;107;680;6.8;1.07
quick;0.01;10000;81;676;6.76;0.81
quick;0.01;10000;128;668;6.68;1.28
quick;0.01;10000;81;676;6.76;0.81
quick;0.01;10000;94;669;6.69;0.94
quick;0.01;10000;94;669;6.69;0.94
quick;0.01;10000;84;659;6.59;0.84
quick;0.01;10000;90;620;6.2;0.9
quick;0.01;10000;90;620;6.2;0.9
quick;0.01;10000;84;659;6.59;0.84
quick;0.01;10000;92;632;6.32;0.92
quick;0.01;10000;97;654;6.54;0.97
quick;0.01;10000;87;657;6.57;0.87
quick;0.01;10000;97;654;6.54;0.97
quick;0.01;10000;105;652;6.52;1.05
quick;0.01;10000;87;657;6.57;0.87
quick;0.01;10000;85;656;6.56;0.85
quick;0.01;10000;110;621;6.21;1.1
quick;0.01;10000;80;712;7.12;0.8
quick;0.01;10000;80;712;7.12;0.8
quick;0.01;10000;110;621;6.21;1.1
quick;0.01;10000;99;632;6.32;0.99
quick;0.01;10000;99;632;6.32;0.99
quick;0.01;10000;88;635;6.35;0.88
quick;0.01;10000;137;631;6.31;1.37
quick;0.01;10000;89;688;6.88;0.89
quick;0.01;10000;137;631;6.31;1.37
quick;0.01;10000;73;692;6.92;0.73
quick;0.01;10000;73;692;6.92;0.73
quick;0.01;10000;129;643;6.43;1.29
quick;0.01;10000;92;652;6.52;0.92
quick;0.01;10000;85;659;6.59;0.85
quick;0.01;10000;129;643;6.43;1.29
quick;0.01;10000;85;659;6.59;0.85
quick;0.01;10000;93;643;6.43;0.93
quick;0.01;10000;93;643;6.43;0.93
quick;0.01;10000;93;643;6.43;0.93
quick;0.01;10000;85;659;6.59;0.85
quick;0.01;10000;85;659;6.59;0.85
quick;0.01;10000;85;659;6.59;0.85
quick;0.01;10000;129;643;6.43;1.29
quick;0.01;10000;129;643;6.43;1.29
quick;0.01;10000;92;652;6.52;0.92
quick;0.01;10000;73;692;6.92;0.73
quick;0.01;10000;73;692;6.92;0.73
quick;0.01;10000;137;631;6.31;1.37
quick;0.01;10000;89;688;6.88;0.89
quick;0.01;10000;137;631;6.31;1.37
quick;0.01;10000;88;635;6.35;0.88
quick;0.01;10000;99;632;6.32;0.99
quick;0.01;10000;99;632;6.32;0.99
quick;0.01;10000;80;712;7.12;0.8
quick;0.01;10000;110;621;6.21;1.1
quick;0.01;10000;110;621;6.21;1.1
quick;0.01;10000;80;712;7.12;0.8
quick;0.01;10000;87;657;6.57;0.87
quick;0.01;10000;85;656;6.56;0.85
quick;0.01;10000;105;652;6.52;1.05
quick;0.01;10000;87;657;6.57;0.87
quick;0.01;10000;97;654;6.54;0.97
quick;0.01;10000;97;654;6.54;0.97
quick;0.01;10000;90;620;6.2;0.9
quick;0.01;10000;92;632;6.32;0.92
quick;0.01;10000;84;659;6.59;0.84
quick;0.01;10000;84;659;6.59;0.84
quick;0.01;10000;90;620;6.2;0.9
quick;0.01;10000;94;669;6.69;0.94
quick;0.01;10000;94;669;6.69;0.94
quick;0.01;10000;81;676;6.76;0.81
quick;0.01;10000;81;676;6.76;0.81
quick;0.01;10000;128;668;6.68;1.28
quick;0.01;10000;128;668;6.68;1.28
quick;0.01;10000;107;680;6.8;1.07
quick;0.01;10000;81;676;6.76;0.81
quick;0.01;10000;81;676;6.76;0.81
quick;0.01;10000;128;668;6.68;1.28
quick;0.01;10000;61;705;7.05;0.61
quick;0.01;10000;81;676;6.76;0.81
quick;0.01;10000;94;669;6.69;0.94
quick;0.01;10000;94;669;6.69;0.94
quick;0.01;10000;87;657;6.57;0.87
quick;0.01;10000;97;654;6.54;0.97
quick;0.01;10000;97;654;6.54;0.97
quick;0.01;10000;90;620;6.2;0.9
quick;0.01;10000;84;659;6.59;0.84
quick;0.01;10000;92;632;6.32;0.92
quick;0.01;10000;84;659;6.59;0.84
quick;0.01;10000;90;620;6.2;0.9
quick;0.01;10000;80;712;7.12;0.8
quick;0.01;10000;110;621;6.21;1.1
quick;0.01;10000;110;621;6.21;1.1
quick;0.01;10000;92;632;6.32;0.92
quick;0.01;10000;105;652;6.52;1.05
quick;0.01;10000;85;656;6.56;0.85
quick;0.01;10000;87;657;6.57;0.87
quick;0.01;10000;88;635;6.35;0.88
quick;0.01;10000;99;632;6.32;0.99
quick;0.01;10000;99;632;6.32;0.99
quick;0.01;10000;89;688;6.88;0.89
quick;0.01;10000;73;692;6.92;0.73
quick;0.01;10000;137;631;6.31;1.37
quick;0.01;10000;137;631;6.31;1.37
quick;0.01;10000;89;688;6.88;0.89
quick;0.01;10000;85;659;6.59;0.85
quick;0.01;10000;92;652;6.52;0.92
quick;0.01;10000;129;643;6.43;1.29
quick;0.01;10000;129;643;6.43;1.29
quick;0.01;10000;85;659;6.59;0.85
quick;0.01;10000;93;643;6.43;0.93
quick;0.01;10000;93;643;6.43;0.93
quick;0.01;10000;93;643;6.43;0.93
quick;0.01;10000;93;643;6.43;0.93
quick;0.01;10000;129;643;6.43;1.29
quick;0.01;10000;92;652;6.52;0.92
quick;0.01;10000;92;652;6.52;0.92
quick;0.01;10000;129;643;6.43;1.29
quick;0.01;10000;85;659;6.59;0.85
quick;0.01;10000;89;688;6.88;0.89
quick;0.01;10000;137;631;6.31;1.37
quick;0.01;10000;137;631;6.31;1.37
quick;0.01;10000;73;692;6.92;0.73
quick;0.01;10000;89;688;6.88;0.89
quick;0.01;10000;99;632;6.32;0.99
quick;0.01;10000;99;632;6.32;0.99
quick;0.01;10000;87;657;6.57;0.87
quick;0.01;10000;105;652;6.52;1.05
quick;0.01;10000;85;656;6.56;0.85
quick;0.01;10000;110;621;6.21;1.1
quick;0.01;10000;92;632;6.32;0.92
quick;0.01;10000;80;712;7.12;0.8
quick;0.01;10000;110;621;6.21;1.1
quick;0.01;10000;84;659;6.59;0.84
quick;0.01;10000;90;620;6.2;0.9
quick;0.01;10000;90;620;6.2;0.9
quick;0.01;10000;92;632;6.32;0.92
quick;0.01;10000;84;659;6.59;0.84
quick;0.01;10000;97;654;6.54;0.97
quick;0.01;10000;87;657;6.57;0.87
quick;0.01;10000;97;654;6.54;0.97
quick;0.01;10000;94;669;6.69;0.94
quick;0.01;10000;94;669;6.69;0.94
quick;0.01;10000;61;705;7.05;0.61
quick;0.01;10000;81;676;6.76;0.81
quick;0.01;10000;81;676;6.76;0.81
quick;0.01;10000;128;668;6.68;1.28
quick;0.01;10000;81;676;6.76;0.81
quick;0.01;10000;128;668;6.68;1.28
quick;0.01;10000;81;676;6.76;0.81
quick;0.01;10000;61;705;7.05;0.61
quick;0.01;10000;128;668;6.68;1.28
quick;0.01;10000;81;676;6.76;0.81
quick;0.01;10000;94;669;6.69;0.94
quick;0.01;10000;94;669;6.69;0.94
quick;0.01;10000;84;659;6.59;0.84
quick;0.01;10000;97;654;6.54;0.97
quick;0.01;10000;97;654;6.54;0.97
quick;0.01;10000;90;620;6.2;0.9
quick;0.01;10000;84;659;6.59;0.84
quick;0.01;10000;84;659;6.59;0.84
quick;0.01;10000;90;620;6.2;0.9
quick;0.01;10000;92;632;6.32;0.92
quick;0.01;10000;110;621;6.21;1.1
quick;0.01;10000;110;621;6.21;1.1
quick;0.01;10000;80;712;7.12;0.8
quick;0.01;10000;87;657;6.57;0.87
quick;0.01;10000;105;652;6.52;1.05
quick;0.01;10000;137;631;6.31;1.37
quick;0.01;10000;88;635;6.35;0.88
quick;0.01;10000;73;692;6.92;0.73
quick;0.01;10000;99;632;6.32;0.99
quick;0.01;10000;99;632;6.32;0.99
quick;0.01;10000;73;692;6.92;0.73
quick;0.01;10000;89;688;6.88;0.89
quick;0.01;10000;137;631;6.31;1.37
quick;0.01;10000;137;631;6.31;1.37
quick;0.01;10000;105;652;6.52;1.05
quick;0.01;10000;85;659;6.59;0.85
quick;0.01;10000;129;643;6.43;1.29
quick;0.01;10000;129;643;6.43;1.29
quick;0.01;10000;92;652;6.52;0.92
quick;0.01;10000;93;643;6.43;0.93
quick;0.01;10000;93;643;6.43;0.93
quick;0.01;10000;93;643;6.43;0.93
quick;0.01;10000;93;643;6.43;0.93
quick;0.01;10000;129;643;6.43;1.29
quick;0.01;10000;92;652;6.52;0.92
quick;0.01;10000;85;659;6.59;0.85
quick;0.01;10000;129;643;6.43;1.29
quick;0.01;10000;105;652;6.52;1.05
quick;0.01;10000;137;631;6.31;1.37
quick;0.01;10000;137;631;6.31;1.37
quick;0.01;10000;89;688;6.88;0.89
quick;0.01;10000;73;692;6.92;0.73
quick;0.01;10000;99;632;6.32;0.99
quick;0.01;10000;99;632;6.32;0.99
quick;0.01;10000;73;692;6.92;0.73
quick;0.01;10000;137;631;6.31;1.37
quick;0.01;10000;88;635;6.35;0.88
quick;0.01;10000;105;652;6.52;1.05
quick;0.01;10000;87;657;6.57;0.87
quick;0.01;10000;110;621;6.21;1.1
quick;0.01;10000;80;712;7.12;0.8
quick;0.01;10000;92;632;6.32;0.92
quick;0.01;10000;110;621;6.21;1.1
quick;0.01;10000;84;659;6.59;0.84
quick;0.01;10000;90;620;6.2;0.9
quick;0.01;10000;90;620;6.2;0.9
quick;0.01;10000;84;659;6.59;0.84
quick;0.01;10000;97;654;6.54;0.97
quick;0.01;10000;97;654;6.54;0.97
quick;0.01;10000;84;659;6.59;0.84
quick;0.01;10000;94;669;6.69;0.94
quick;0.01;10000;94;669;6.69;0.94
quick;0.01;10000;128;668;6.68;1.28
quick;0.01;10000;81;676;6.76;0.81
quick;0.01;10000;81;676;6.76;0.81
quick;0.01;10000;61;705;7.05;0.61
quick;0.01;10000;128;668;6.68;1.28
